typ_predmetu_hodnoceni;kod_chu;nazev_chu;druh;feature_code;datum_hodnoceni_od;datum_hodnoceni_do;parametr_nazev;parametr_hodnota;parametr_limit;parametr_jednotka;stav;trend;datum_hodnoceni;oop;pracoviste;poznamka;Poznámka
Stanoviště;CZ0210173;Slaná louka u Újezdce;Vnitrozemské slané louky;1340;2021-09-03;2021-09-03;128;1,0057;0.73;hektary;11;2;2025-11-03;Krajský úřad Středočeského kraje;RP Střední Čechy;VMB2;NA
Stanoviště;CZ0210173;Slaná louka u Újezdce;Vnitrozemské slané louky;1340;2021-09-03;2021-09-03;129;2,3632;2;140;13;4;2025-11-03;Krajský úřad Středočeského kraje;RP Střední Čechy;VMB2;NA
Stanoviště;CZ0210173;Slaná louka u Újezdce;Vnitrozemské slané louky;1340;2021-09-03;2021-09-03;132;2,1816;NA;140;8;NA;2025-11-03;Krajský úřad Středočeského kraje;RP Střední Čechy;NA;NA
Stanoviště;CZ0210173;Slaná louka u Újezdce;Vnitrozemské slané louky;1340;NA;NA;133;NA;NA;% rozlohy v celistvém uspořádání splňující hodnotu minimiareálu;8;NA;2025-11-03;Krajský úřad Středočeského kraje;RP Střední Čechy;NA;NA
Stanoviště;CZ0210173;Slaná louka u Újezdce;Vnitrozemské slané louky;1340;NA;NA;135;NA;NA;% hranice s nepřírodními biotopy;8;NA;2025-11-03;Krajský úřad Středočeského kraje;RP Střední Čechy;MINIMI;NA
Stanoviště;CZ0210173;Slaná louka u Újezdce;Vnitrozemské slané louky;1340;NA;NA;134;NA;NA;zastoupení nepřírodních biotopů v segmentech stanoviště;8;NA;2025-11-03;Krajský úřad Středočeského kraje;RP Střední Čechy;NA;NA
Stanoviště;CZ0210173;Slaná louka u Újezdce;Vnitrozemské slané louky;1340;NA;NA;136;NA;NA;druhy červeného seznamu;8;NA;2025-11-03;Krajský úřad Středočeského kraje;RP Střední Čechy;NA;NA
Stanoviště;CZ0210173;Slaná louka u Újezdce;Vnitrozemské slané louky;1340;NA;NA;137;NA;NA;% rozlohy zasažené invazními druhy;8;NA;2025-11-03;Krajský úřad Středočeského kraje;RP Střední Čechy;MINIMI;NA
Stanoviště;CZ0210173;Slaná louka u Újezdce;Vnitrozemské slané louky;1340;NA;NA;138;NA;NA;% rozlohy zasažené expanzivními druhy;8;NA;2025-11-03;Krajský úřad Středočeského kraje;RP Střední Čechy;MINIMI;NA
Stanoviště;CZ0210173;Slaná louka u Újezdce;Vnitrozemské slané louky;1340;2021-09-03;2021-09-03;10;NA;NA;NA;12;NA;2025-11-03;Krajský úřad Středočeského kraje;RP Střední Čechy;NA;NA
Stanoviště;CZ0410150;Soos;Vnitrozemské slané louky;1340;2014-06-14;2014-09-04;128;7,0838;8;hektary;13;3;2025-11-03;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;RP SCHKO Slavkovský les;EXPERT;NA
Stanoviště;CZ0410150;Soos;Vnitrozemské slané louky;1340;2014-06-14;2014-09-04;129;2,0346;1;140;13;3;2025-11-03;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;RP SCHKO Slavkovský les;EXPERT;NA
Stanoviště;CZ0410150;Soos;Vnitrozemské slané louky;1340;2014-06-14;2014-09-04;132;2,5768;NA;140;8;3;2025-11-03;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;RP SCHKO Slavkovský les;NA;NA
Stanoviště;CZ0410150;Soos;Vnitrozemské slané louky;1340;NA;NA;133;NA;NA;% rozlohy v celistvém uspořádání splňující hodnotu minimiareálu;8;NA;2025-11-03;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;RP SCHKO Slavkovský les;NA;NA
Stanoviště;CZ0410150;Soos;Vnitrozemské slané louky;1340;NA;NA;135;NA;NA;% hranice s nepřírodními biotopy;8;NA;2025-11-03;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;RP SCHKO Slavkovský les;NA;NA
Stanoviště;CZ0410150;Soos;Vnitrozemské slané louky;1340;NA;NA;134;NA;NA;zastoupení nepřírodních biotopů v segmentech stanoviště;8;NA;2025-11-03;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;RP SCHKO Slavkovský les;NA;NA
Stanoviště;CZ0410150;Soos;Vnitrozemské slané louky;1340;NA;NA;136;NA;NA;druhy červeného seznamu;8;NA;2025-11-03;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;RP SCHKO Slavkovský les;NA;NA
Stanoviště;CZ0410150;Soos;Vnitrozemské slané louky;1340;NA;NA;137;NA;NA;% rozlohy zasažené invazními druhy;8;NA;2025-11-03;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;RP SCHKO Slavkovský les;MINIMI;NA
Stanoviště;CZ0410150;Soos;Vnitrozemské slané louky;1340;NA;NA;138;NA;NA;% rozlohy zasažené expanzivními druhy;8;NA;2025-11-03;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;RP SCHKO Slavkovský les;MINIMI;NA
